dataset,clf,y_true,y_point,p_max,T,I,F
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.9965,0.01308,0.0
Iris,RF,0,0,1.0,0.9995,0.00436,0.0
Iris,RF,0,0,1.0,0.9995,0.00436,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.9965,0.01308,0.0
Iris,RF,0,0,1.0,0.9995,0.00436,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.98,0.982,0.04587,0.0
Iris,RF,0,0,1.0,0.999,0.006,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.9995,0.00436,0.0
Iris,RF,1,1,1.0,0.998,0.012,0.0
Iris,RF,1,1,1.0,0.9975,0.01245,0.0
Iris,RF,1,1,1.0,0.9995,0.00436,0.0
Iris,RF,1,1,0.96,0.9685,0.0239,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.9995,0.00436,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.986,0.04261,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.96,0.9645,0.04265,0.0
Iris,RF,0,0,1.0,0.9915,0.03809,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.9985,0.00954,0.0
Iris,RF,0,0,1.0,0.9995,0.00436,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.99,0.9905,0.06082,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.9985,0.00954,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.999,0.006,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.9985,0.00954,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.99,0.9625,0.06569,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.98,0.9645,0.06276,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.99,0.966,0.06431,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.994,0.02786,0.0
Iris,RF,1,1,1.0,0.994,0.02786,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,0.94,0.9165,0.10978,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,0.94,0.922,0.1067,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.9995,0.00436,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.984,0.036,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.9815,0.03648,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.999,0.00872,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.999,0.00872,0.0
Iris,SVM,1,1,0.98817,0.98561,0.00434,0.0
Iris,SVM,1,1,0.98002,0.97468,0.01446,0.0
Iris,SVM,1,1,0.96234,0.93884,0.09062,0.0
Iris,SVM,1,1,0.88099,0.80739,0.2248,0.05
Iris,SVM,1,1,0.97995,0.97703,0.01338,0.0
Iris,SVM,1,1,0.96689,0.96199,0.02331,0.0
Iris,SVM,1,1,0.98439,0.98179,0.00571,0.0
Iris,SVM,1,1,0.95648,0.9165,0.12064,0.0
Iris,SVM,1,1,0.98517,0.98285,0.0074,0.0
Iris,SVM,1,1,0.9734,0.96875,0.01826,0.0
Iris,SVM,0,0,0.98551,0.9857,0.00487,0.0
Iris,SVM,0,0,0.98854,0.98854,0.00442,0.0
Iris,SVM,0,0,0.99035,0.99096,0.00299,0.0
Iris,SVM,0,0,0.98147,0.97978,0.0123,0.0
Iris,SVM,0,0,0.98334,0.98568,0.00478,0.0
Iris,SVM,0,0,0.99047,0.98931,0.00704,0.0
Iris,SVM,0,0,0.99181,0.99237,0.00307,0.0
Iris,SVM,0,0,0.9943,0.99344,0.0049,0.0
Iris,SVM,0,0,0.99278,0.99211,0.00499,0.0
Iris,SVM,0,0,0.98064,0.97967,0.00861,0.0
Iris,SVM,0,0,0.98815,0.98867,0.00484,0.0
Iris,SVM,0,0,0.98719,0.98857,0.00378,0.0
Iris,SVM,0,0,0.98465,0.985,0.00671,0.0
Iris,SVM,0,0,0.98988,0.99021,0.00411,0.0
Iris,SVM,0,0,0.99109,0.992,0.0029,0.0
Iris,SVM,0,0,0.97564,0.95447,0.08423,0.0
Iris,SVM,0,0,0.99015,0.99124,0.00283,0.0
Iris,SVM,0,0,0.9856,0.98672,0.00525,0.0
Iris,SVM,0,0,0.98592,0.98706,0.00603,0.0
Iris,SVM,0,0,0.99068,0.99126,0.0028,0.0
Iris,SVM,1,1,0.98749,0.98676,0.00554,0.0
Iris,SVM,1,1,0.98654,0.98632,0.00541,0.0
Iris,SVM,1,1,0.98528,0.98349,0.0078,0.0
Iris,SVM,1,1,0.98401,0.98439,0.00621,0.0
Iris,SVM,1,1,0.9837,0.98412,0.0061,0.0
Iris,SVM,1,1,0.98424,0.98404,0.00634,0.0
Iris,SVM,1,1,0.97905,0.97632,0.01214,0.0
Iris,SVM,1,1,0.98741,0.98659,0.00563,0.0
Iris,SVM,1,1,0.98326,0.98202,0.00896,0.0
Iris,SVM,1,1,0.98612,0.98477,0.0071,0.0
Iris,SVM,0,0,0.99076,0.99132,0.00444,0.0
Iris,SVM,0,0,0.9827,0.98433,0.00697,0.0
Iris,SVM,0,0,0.9878,0.988,0.00794,0.0
Iris,SVM,0,0,0.99123,0.99112,0.00465,0.0
Iris,SVM,0,0,0.98764,0.98787,0.00622,0.0
Iris,SVM,0,0,0.98744,0.98916,0.00518,0.0
Iris,SVM,0,0,0.98782,0.98961,0.00422,0.0
Iris,SVM,0,0,0.98221,0.98236,0.01047,0.0
Iris,SVM,0,0,0.99173,0.99126,0.00526,0.0
Iris,SVM,0,0,0.98258,0.98462,0.00751,0.0
Iris,SVM,0,0,0.97969,0.98014,0.01465,0.0
Iris,SVM,0,0,0.99269,0.9926,0.00367,0.0
Iris,SVM,0,0,0.98525,0.98633,0.00542,0.0
Iris,SVM,0,0,0.98795,0.98833,0.00553,0.0
Iris,SVM,0,0,0.97915,0.98048,0.00822,0.0
Iris,SVM,0,0,0.986,0.98746,0.00406,0.0
Iris,SVM,0,0,0.97664,0.94798,0.09986,0.0
Iris,SVM,0,0,0.98871,0.98917,0.00416,0.0
Iris,SVM,0,0,0.98373,0.9825,0.01103,0.0
Iris,SVM,0,0,0.99084,0.99173,0.00319,0.0
Iris,SVM,1,1,0.98177,0.98163,0.00795,0.0
Iris,SVM,1,1,0.9839,0.98425,0.00465,0.0
Iris,SVM,1,1,0.97425,0.97601,0.01178,0.0
Iris,SVM,1,1,0.98105,0.98227,0.00447,0.0
Iris,SVM,1,1,0.97977,0.97727,0.00922,0.0
Iris,SVM,1,1,0.9796,0.9773,0.00935,0.0
Iris,SVM,1,1,0.9767,0.97234,0.01421,0.0
Iris,SVM,1,0,0.54638,0.55703,0.12916,0.15
Iris,SVM,1,1,0.97084,0.97174,0.01461,0.0
Iris,SVM,1,1,0.97793,0.9798,0.00615,0.0
Iris,SVM,0,0,0.98839,0.98765,0.0024,0.0
Iris,SVM,0,0,0.98199,0.97796,0.00828,0.0
Iris,SVM,0,0,0.98499,0.98419,0.00332,0.0
Iris,SVM,0,0,0.98434,0.9823,0.00539,0.0
Iris,SVM,0,0,0.98894,0.98828,0.00209,0.0
Iris,SVM,0,0,0.99198,0.99103,0.00182,0.0
Iris,SVM,0,0,0.98784,0.9868,0.0023,0.0
Iris,SVM,0,0,0.9718,0.971,0.00651,0.0
Iris,SVM,0,0,0.9906,0.99006,0.00148,0.0
Iris,SVM,0,0,0.99,0.98915,0.00156,0.0
Iris,SVM,0,0,0.99213,0.9913,0.0014,0.0
Iris,SVM,0,0,0.98558,0.98265,0.00969,0.0
Iris,SVM,0,0,0.98486,0.9817,0.01702,0.0
Iris,SVM,0,0,0.99047,0.9893,0.00202,0.0
Iris,SVM,0,0,0.98887,0.98564,0.00906,0.0
Iris,SVM,0,0,0.9909,0.98989,0.00229,0.0
Iris,SVM,0,0,0.99143,0.99043,0.00165,0.0
Iris,SVM,0,0,0.98943,0.98826,0.002,0.0
Iris,SVM,0,0,0.99032,0.98917,0.00192,0.0
Iris,SVM,0,0,0.99205,0.99135,0.0015,0.0
Iris,SVM,1,1,0.98064,0.97693,0.0161,0.0
Iris,SVM,1,1,0.9848,0.98375,0.00732,0.0
Iris,SVM,1,1,0.97432,0.96982,0.02725,0.0
Iris,SVM,1,1,0.98254,0.97961,0.0136,0.0
Iris,SVM,1,1,0.97327,0.96925,0.01415,0.0
Iris,SVM,1,1,0.98084,0.97947,0.0083,0.0
Iris,SVM,1,1,0.98467,0.98346,0.00716,0.0
Iris,SVM,1,1,0.97911,0.97477,0.01873,0.0
Iris,SVM,1,1,0.98353,0.98314,0.00674,0.0
Iris,SVM,1,1,0.98558,0.98424,0.00727,0.0
Iris,SVM,0,0,0.9841,0.98374,0.00704,0.0
Iris,SVM,0,0,0.99094,0.99176,0.00249,0.0
Iris,SVM,0,0,0.98745,0.98754,0.0051,0.0
Iris,SVM,0,0,0.96302,0.94494,0.05794,0.0
Iris,SVM,0,0,0.98508,0.98597,0.00511,0.0
Iris,SVM,0,0,0.98815,0.98909,0.00374,0.0
Iris,SVM,0,0,0.99126,0.99181,0.00248,0.0
Iris,SVM,0,0,0.98927,0.98974,0.00356,0.0
Iris,SVM,0,0,0.95992,0.94824,0.04636,0.0
Iris,SVM,0,0,0.97384,0.97673,0.01112,0.0
Iris,SVM,0,0,0.99106,0.99182,0.00209,0.0
Iris,SVM,0,0,0.97883,0.97647,0.01624,0.0
Iris,SVM,0,0,0.98826,0.98341,0.01147,0.0
Iris,SVM,0,0,0.99061,0.99111,0.00251,0.0
Iris,SVM,0,0,0.94007,0.93571,0.03014,0.0
Iris,SVM,0,0,0.9653,0.96302,0.02111,0.0
Iris,SVM,0,0,0.99165,0.99211,0.00199,0.0
Iris,SVM,0,0,0.9924,0.99298,0.00186,0.0
Iris,SVM,0,0,0.99142,0.99204,0.00214,0.0
Iris,SVM,0,0,0.99132,0.99135,0.00229,0.0
Iris,SVM,1,1,0.98422,0.98123,0.00738,0.0
Iris,SVM,1,1,0.98096,0.97512,0.02779,0.0
Iris,SVM,1,1,0.98261,0.97725,0.02586,0.0
Iris,SVM,1,1,0.98701,0.98477,0.00699,0.0
Iris,SVM,1,1,0.97575,0.96955,0.03101,0.0
Iris,SVM,1,1,0.98452,0.9814,0.00802,0.0
Iris,SVM,1,1,0.9821,0.97889,0.01258,0.0
Iris,SVM,1,1,0.9872,0.98473,0.00654,0.0
Iris,SVM,1,1,0.97872,0.9746,0.01311,0.0
Iris,SVM,1,1,0.98325,0.98066,0.01305,0.0
Iris,SVM,0,0,0.98539,0.98731,0.00549,0.0
Iris,SVM,0,0,0.99361,0.99241,0.00529,0.0
Iris,SVM,0,0,0.99082,0.98863,0.0103,0.0
Iris,SVM,0,0,0.98736,0.98982,0.00368,0.0
Iris,SVM,0,0,0.99085,0.99237,0.00232,0.0
Iris,SVM,0,0,0.9912,0.9918,0.00404,0.0
Iris,SVM,0,0,0.98169,0.96881,0.03762,0.0
Iris,SVM,0,0,0.98647,0.98926,0.00374,0.0
Iris,SVM,0,0,0.99069,0.99172,0.00302,0.0
Iris,SVM,0,0,0.98806,0.99002,0.00434,0.0
Iris,SVM,0,0,0.98867,0.99007,0.00358,0.0
Iris,SVM,0,0,0.99013,0.99157,0.00315,0.0
Iris,SVM,0,0,0.98849,0.98918,0.00578,0.0
Iris,SVM,0,0,0.98673,0.9886,0.00459,0.0
Iris,SVM,0,0,0.98542,0.98719,0.00561,0.0
Iris,SVM,0,0,0.98523,0.98719,0.00514,0.0
Iris,SVM,0,0,0.98023,0.98057,0.00927,0.0
Iris,SVM,0,0,0.98223,0.98347,0.00793,0.0
Iris,SVM,0,0,0.98611,0.98775,0.00447,0.0
Iris,SVM,0,0,0.98189,0.98174,0.00855,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,1,1,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
Iris,KNN,0,0,1.0,1.0,0.0,0.0
